#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Pseudomonas aeruginosa	HBO6965020.1	SAMD00141167	PDT000771075.1	DAFQDW010000020.1	5959	6867	+	GCA_021674535.1	blaCAE-1	broad-spectrum class A beta-lactamase CAE-1	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMM1211895.1	SAMN16916272	PDT000898308.3	ABEUSY030000019.1	90164	91357	+	GCA_021666675.3	blaPDC-19a	class C beta-lactamase PDC-19a	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4551465.1	SAMN16916271	PDT000898309.3	ABEUSX030000008.1	103616	104422	-	GCA_021666635.3	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0812629.1	SAMN30350041	PDT001391294.3	ABHYED030000012.1	104146	104952	-	GCA_024961505.3	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EKS2406755.1	SAMN34111343	PDT001682682.1	ABLKHV010000015.1	1	506	+	GCA_029622995.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDP	62.55	COMBINED	100.0
Pseudomonas aeruginosa	EMM1211904.1	SAMN16916272	PDT000898308.3	ABEUSY030000019.1	103616	104422	-	GCA_021666675.3	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4551711.1	SAMN16916271	PDT000898309.3	ABEUSX030000009.1	163209	163997	+	GCA_021666635.3	blaOXA-395	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0465206.1	SAMD00244737	PDT001339874.1	DAHPXX010000021.1	49050	49688	+	GCA_023995295.1	catB7	type B-4 chloramphenicol O-acetyltransferase CatB7	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0284473.1	SAMD00260834	PDT001339906.1	DAHPWW010000024.1	49050	49688	+	GCA_023994755.1	catB7	type B-4 chloramphenicol O-acetyltransferase CatB7	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0812698.1	SAMN30350041	PDT001391294.3	ABHYED030000013.1	52478	53266	+	GCA_024961505.3	blaOXA-396	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EKS2406756.1	SAMN34111343	PDT001682682.1	ABLKHV010000015.1	506	1342	+	GCA_029622995.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMM1212181.1	SAMN16916272	PDT000898308.3	ABEUSY030000022.1	57189	57977	+	GCA_021666675.3	blaOXA-395	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML9693541.1	SAMN16916270	PDT000898310.3	ABEUSV030000010.1	163209	163997	+	GCA_021666615.3	blaOXA-395	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCR1481072.1	SAMN31263457	PDT001471631.1	DAJRUH010000065.1	742	1623	-	GCA_025921805.1	blaPAU-1	class A beta-lactamase PAU-1	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0285542.1	SAMD00260834	PDT001339906.1	DAHPWW010000037.1	4824	5684	+	GCA_023994755.1	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa		SAMN31263457	PDT001471631.1	DAJRUH010000065.1	3185	3709	+	GCA_025921805.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	65.54	COMBINED	100.0
Pseudomonas aeruginosa	EML2129829.1	SAMN33285590	PDT001615610.3	ABKQLC030000050.1	19095	19883	+	GCA_028640045.3	blaOXA-395	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EKS2408010.1	SAMN34111343	PDT001682682.1	ABLKHV010000025.1	49050	49688	+	GCA_029622995.1	catB7	type B-4 chloramphenicol O-acetyltransferase CatB7	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	WP_000259031.1	SAMN41380053	PDT002171240.1	NZ_JBDKWM010000001.1	66244	67083	+	GCA_039684275.1	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HBO6868814.1	SAMD00141164	PDT000771072.1	DAFQDY010000142.1	15852	17045	+	GCA_021674595.1	blaPDC-12	class C beta-lactamase PDC-12	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0444316.1	SAMN16940787	PDT000899222.3	ABEURG030000054.1	19098	19886	+	GCA_021665835.3	blaOXA-395	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCR1481074.1	SAMN31263457	PDT001471631.1	DAJRUH010000065.1	3712	4548	+	GCA_025921805.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EKS2408523.1	SAMN34111343	PDT001682682.1	ABLKHV010000031.1	32684	33472	+	GCA_029622995.1	blaOXA-847	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-847	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HBO6868842.1	SAMD00141164	PDT000771072.1	DAFQDY010000145.1	1178	2053	+	GCA_021674595.1	blaCTX-M-15	extended-spectrum class A beta-lactamase CTX-M-15	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa		SAMD00260834	PDT001339906.1	DAHPWW010000037.1	6223	6774	-	GCA_023994755.1	aac(6')-Ib3	aminoglycoside N-acetyltransferase AAC(6')-Ib3	AMR	core	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	ALLELEX	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCR1481102.1	SAMN31263457	PDT001471631.1	DAJRUH010000066.1	5363	6556	+	GCA_025921805.1	blaPDC-1	cephalosporin-hydrolyzing class C beta-lactamase PDC-1	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0445945.1	SAMN16940787	PDT000899222.3	ABEURG030000108.1	1	579	+	GCA_021665835.3	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDP	71.91	COMBINED	100.0
Pseudomonas aeruginosa	HBO6869196.1	SAMD00141164	PDT000771072.1	DAFQDY010000170.1	12254	13054	-	GCA_021674595.1	blaVIM-2	subclass B1 metallo-beta-lactamase VIM-2	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0468348.1	SAMD00244737	PDT001339874.1	DAHPXX010000100.1	1158	2333	-	GCA_023995295.1	tet(G)	tetracycline efflux MFS transporter Tet(G)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	WP_000259031.1	SAMN41380053	PDT002171240.1	NZ_JBDKWM010000001.1	76882	77721	+	GCA_039684275.1	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0468350.1	SAMD00244737	PDT001339874.1	DAHPXX010000100.1	3270	4484	-	GCA_023995295.1	floR2	chloramphenicol/florfenicol efflux MFS transporter FloR2	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML2132104.1	SAMN33285590	PDT001615610.3	ABKQLC030000122.1	5352	8486	+	GCA_028640045.3	tmexD2	multidrug efflux RND transporter permease subunit TMexD2	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4294642.1	SAMN16916273	PDT000898305.3	ABEUTB030000069.1	5352	8486	+	GCA_021666655.3	tmexD2	multidrug efflux RND transporter permease subunit TMexD2	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMM1215238.1	SAMN16916272	PDT000898308.3	ABEUSY030000084.1	5352	8486	+	GCA_021666675.3	tmexD2	multidrug efflux RND transporter permease subunit TMexD2	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4555049.1	SAMN16916271	PDT000898309.3	ABEUSX030000055.1	5352	8486	+	GCA_021666635.3	tmexD2	multidrug efflux RND transporter permease subunit TMexD2	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML9696956.1	SAMN16916270	PDT000898310.3	ABEUSV030000058.1	5352	8486	+	GCA_021666615.3	tmexD2	multidrug efflux RND transporter permease subunit TMexD2	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0445952.1	SAMN16940787	PDT000899222.3	ABEURG030000108.1	5983	9117	+	GCA_021665835.3	tmexD2	multidrug efflux RND transporter permease subunit TMexD2	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0468353.1	SAMD00244737	PDT001339874.1	DAHPXX010000100.1	7951	8481	-	GCA_023995295.1	blaKBL	KBL family class A beta-lactamase	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	61.54	COMBINED	100.0
Pseudomonas aeruginosa	EML2132105.1	SAMN33285590	PDT001615610.3	ABKQLC030000122.1	8491	9924	+	GCA_028640045.3	toprJ1	multidrug efflux transporter outer membrane subunit TOprJ1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4294643.1	SAMN16916273	PDT000898305.3	ABEUTB030000069.1	8491	9924	+	GCA_021666655.3	toprJ1	multidrug efflux transporter outer membrane subunit TOprJ1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMM1215239.1	SAMN16916272	PDT000898308.3	ABEUSY030000084.1	8491	9924	+	GCA_021666675.3	toprJ1	multidrug efflux transporter outer membrane subunit TOprJ1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMJ4555050.1	SAMN16916271	PDT000898309.3	ABEUSX030000055.1	8491	9924	+	GCA_021666635.3	toprJ1	multidrug efflux transporter outer membrane subunit TOprJ1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EML9696957.1	SAMN16916270	PDT000898310.3	ABEUSV030000058.1	8491	9924	+	GCA_021666615.3	toprJ1	multidrug efflux transporter outer membrane subunit TOprJ1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	EMP0445953.1	SAMN16940787	PDT000899222.3	ABEURG030000108.1	9122	10555	+	GCA_021665835.3	toprJ1	multidrug efflux transporter outer membrane subunit TOprJ1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HCG0286749.1	SAMD00260834	PDT001339906.1	DAHPWW010000077.1	1158	2333	-	GCA_023994755.1	tet(G)	tetracycline efflux MFS transporter Tet(G)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Pseudomonas aeruginosa		SAMN34111343	PDT001682682.1	ABLKHV010000052.1	23670	24221	+	GCA_029622995.1	aac(6')-Ib3	aminoglycoside N-acetyltransferase AAC(6')-Ib3	AMR	core	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	ALLELEX	100.0	COMBINED	100.0
Pseudomonas aeruginosa	HBO6869463.1	SAMD00141164	PDT000771072.1	DAFQDY010000193.1	7499	8932	+	GCA_021674595.1	toprJ1	multidrug efflux transporter outer membrane subunit TOprJ1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
