#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Acinetobacter baumannii	HCE3898478.1	SAMN28613899	PDT001325906.1	DAHLUW010000017.1	24631	25455	+	GCA_023825195.1	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMI6571201.1	SAMN32579602	PDT001561899.3	ABKAVM030000008.1	118520	119344	+	GCA_027867325.3	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6138159.1	SAMD00034430	PDT000173789.3	DADBKD010000016.1	65105	65929	+	GCA_016514445.1	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6013675.1	SAMD00034449	PDT000173808.3	DADBJF010000017.1	60001	60837	+	GCA_016513995.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMN2961797.1	SAMN26365835	PDT001257306.3	ABFGSS030000019.1	34582	35370	-	GCA_022442445.3	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	AMR	core	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMI6571692.1	SAMN32579602	PDT001561899.3	ABKAVM030000014.1	9	1160	+	GCA_027867325.3	blaADC-30	extended-spectrum class C beta-lactamase ADC-30	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6138281.1	SAMD00034430	PDT000173789.3	DADBKD010000018.1	59198	60001	+	GCA_016514445.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6065927.1	SAMD00034438	PDT000173797.3	DADBJN010000015.1	65105	65929	+	GCA_016514295.1	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6013680.1	SAMD00034449	PDT000173808.3	DADBJF010000017.1	63450	64265	-	GCA_016513995.1	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_000259031.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	256634	257473	+	GCA_021484905.1	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii AYE	HBN5962524.1	SAMN20285909	PDT001227185.1	DAFNKQ010000016.1	52362	53150	+	GCA_021545095.1	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	AMR	core	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCG3427466.1	SAMEA13320922	PDT001336298.1	DAHQZY010000085.1	12382	13266	-	GCA_024026015.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMP2058370.1	SAMN35141346	PDT001739140.2	ABMAPL020000015.1	7	1158	+	GCA_031152015.2	blaADC-73	extended-spectrum class C beta-lactamase ADC-73	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6138282.1	SAMD00034430	PDT000173789.3	DADBKD010000018.1	60001	60837	+	GCA_016514445.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6066170.1	SAMD00034438	PDT000173797.3	DADBJN010000019.1	59198	60001	+	GCA_016514295.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6014303.1	SAMD00034449	PDT000173808.3	DADBJF010000029.1	8	1159	+	GCA_016513995.1	blaADC-30	extended-spectrum class C beta-lactamase ADC-30	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMN2962048.1	SAMN26365835	PDT001257306.3	ABFGSS030000022.1	62944	63417	+	GCA_022442445.3	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCE3898989.1	SAMN28613899	PDT001325906.1	DAHLUW010000025.1	7	1158	+	GCA_023825195.1	blaADC-73	extended-spectrum class C beta-lactamase ADC-73	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCG3427467.1	SAMEA13320922	PDT001336298.1	DAHQZY010000085.1	13322	14797	-	GCA_024026015.1	msr(E)	ABC-F type ribosomal protection protein Msr(E)	AMR	core	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HDV0617759.1	SAMN32024347	PDT001873331.1	DAPGIB010000032.1	24632	25456	+	GCA_031182165.1	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6138301.1	SAMD00034430	PDT000173789.3	DADBKD010000019.1	23897	24685	+	GCA_016514445.1	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	AMR	core	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6066171.1	SAMD00034438	PDT000173797.3	DADBJN010000019.1	60001	60837	+	GCA_016514295.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4259517.1	SAMN03575972	PDT000663701.1	DADARP010000049.1	16764	17588	+	GCA_016497185.1	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4274849.1	SAMN03576448	PDT000663714.1	DADARS010000091.1	4149	5033	-	GCA_016497045.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_000018326.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	955185	956000	-	GCA_021484905.1	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMN2962049.1	SAMN26365835	PDT001257306.3	ABFGSS030000022.1	63512	64036	+	GCA_022442445.3	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCE0842557.1	SAMN28158753	PDT001325784.1	DAHKXV010000042.1	15987	16826	-	GCA_023783775.1	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCE3899143.1	SAMN28613899	PDT001325906.1	DAHLUW010000027.1	50862	51665	+	GCA_023825195.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCQ9931754.1	SAMN31262559	PDT001469761.1	DAJRIL010000107.1	7506	8390	-	GCA_025897775.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMI6572330.1	SAMN32579602	PDT001561899.3	ABKAVM030000023.1	39845	40648	+	GCA_027867325.3	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMP2059191.1	SAMN35141346	PDT001739140.2	ABMAPL020000024.1	59198	60001	+	GCA_031152015.2	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HDV0617972.1	SAMN32024347	PDT001873331.1	DAPGIB010000038.1	8	1159	+	GCA_031182165.1	blaADC-73	extended-spectrum class C beta-lactamase ADC-73	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6066191.1	SAMD00034438	PDT000173797.3	DADBJN010000020.1	25246	26034	+	GCA_016514295.1	ant(3'')-IIa	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	AMR	core	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN/STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4274850.1	SAMN03576448	PDT000663714.1	DADARS010000091.1	5089	6564	-	GCA_016497045.1	msr(E)	ABC-F type ribosomal protection protein Msr(E)	AMR	core	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_000018326.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	958262	959077	-	GCA_021484905.1	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMN2962050.1	SAMN26365835	PDT001257306.3	ABFGSS030000022.1	64094	64882	+	GCA_022442445.3	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCE3899144.1	SAMN28613899	PDT001325906.1	DAHLUW010000027.1	51665	52501	+	GCA_023825195.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCG3427612.1	SAMEA13320922	PDT001336298.1	DAHQZY010000098.1	860	1663	+	GCA_024026015.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCQ9931755.1	SAMN31262559	PDT001469761.1	DAJRIL010000107.1	8446	9921	-	GCA_025897775.1	msr(E)	ABC-F type ribosomal protection protein Msr(E)	AMR	core	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMI6572331.1	SAMN32579602	PDT001561899.3	ABKAVM030000023.1	40648	41484	+	GCA_027867325.3	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMP2059192.1	SAMN35141346	PDT001739140.2	ABMAPL020000024.1	60001	60837	+	GCA_031152015.2	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6014777.1	SAMD00034449	PDT000173808.3	DADBJF010000041.1	26342	27166	+	GCA_016513995.1	blaOXA-66	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4274854.1	SAMN03576448	PDT000663714.1	DADARS010000091.1	8863	9636	-	GCA_016497045.1	armA	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	AMR	core	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_000018326.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	961339	962154	-	GCA_021484905.1	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii AYE	HBN5962994.1	SAMN20285909	PDT001227185.1	DAFNKQ010000029.1	3734	4393	+	GCA_021545095.1	catA1	type A-1 chloramphenicol O-acetyltransferase	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMN2962439.1	SAMN26365835	PDT001257306.3	ABFGSS030000030.1	74	1225	+	GCA_022442445.3	blaADC-191	extended-spectrum class C beta-lactamase ADC-191	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCE0842559.1	SAMN28158753	PDT001325784.1	DAHKXV010000042.1	17331	18122	-	GCA_023783775.1	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCE3899149.1	SAMN28613899	PDT001325906.1	DAHLUW010000027.1	55874	57071	+	GCA_023825195.1	tet(B)	tetracycline efflux MFS transporter Tet(B)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	99.5	COMBINED	100.0
Acinetobacter baumannii	HCG3427613.1	SAMEA13320922	PDT001336298.1	DAHQZY010000098.1	1663	2499	+	GCA_024026015.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	EMI6572336.1	SAMN32579602	PDT001561899.3	ABKAVM030000023.1	44857	46074	+	GCA_027867325.3	tet(B)	tetracycline efflux MFS transporter Tet(B)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	99.75	COMBINED	100.0
Acinetobacter baumannii	EMP2059197.1	SAMN35141346	PDT001739140.2	ABMAPL020000024.1	64210	65427	+	GCA_031152015.2	tet(B)	tetracycline efflux MFS transporter Tet(B)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	99.75	COMBINED	100.0
Acinetobacter baumannii	HAV4260265.1	SAMN03575972	PDT000663701.1	DADARP010000091.1	8864	9637	-	GCA_016497185.1	armA	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	AMR	core	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4274856.1	SAMN03576448	PDT000663714.1	DADARS010000091.1	12981	13820	-	GCA_016497045.1	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_000018326.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	964416	965231	-	GCA_021484905.1	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii AYE	HBN5962998.1	SAMN20285909	PDT001227185.1	DAFNKQ010000029.1	8239	9438	-	GCA_021545095.1	tet(A)	tetracycline efflux MFS transporter Tet(A)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCE0842560.1	SAMN28158753	PDT001325784.1	DAHKXV010000042.1	18139	18939	-	GCA_023783775.1	blaOXA-10	oxacillin-hydrolyzing class D beta-lactamase OXA-10	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCG3427617.1	SAMEA13320922	PDT001336298.1	DAHQZY010000098.1	7163	7978	+	GCA_024026015.1	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HDV0618557.1	SAMN32024347	PDT001873331.1	DAPGIB010000062.1	3990	4874	-	GCA_031182165.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6139195.1	SAMD00034430	PDT000173789.3	DADBKD010000049.1	4149	5033	-	GCA_016514445.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4260267.1	SAMN03575972	PDT000663701.1	DADARP010000091.1	12982	13821	-	GCA_016497185.1	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	WP_000018326.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	967493	968308	-	GCA_021484905.1	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCE0842561.1	SAMN28158753	PDT001325784.1	DAHKXV010000042.1	19204	20463	-	GCA_023783775.1	cmlA5	chloramphenicol efflux MFS transporter CmlA5	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCG3427711.1	SAMEA13320922	PDT001336298.1	DAHQZY010000107.1	6339	7163	-	GCA_024026015.1	blaOXA-67	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-67	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HCQ9932042.1	SAMN31262559	PDT001469761.1	DAJRIL010000136.1	1283	2107	+	GCA_025897775.1	blaOXA-402	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-402	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Acinetobacter baumannii	HDV0618558.1	SAMN32024347	PDT001873331.1	DAPGIB010000062.1	4930	6405	-	GCA_031182165.1	msr(E)	ABC-F type ribosomal protection protein Msr(E)	AMR	core	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6139196.1	SAMD00034430	PDT000173789.3	DADBKD010000049.1	5089	6564	-	GCA_016514445.1	msr(E)	ABC-F type ribosomal protection protein Msr(E)	AMR	core	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV6067479.1	SAMD00034438	PDT000173797.3	DADBJN010000065.1	2209	3426	-	GCA_016514295.1	tet(B)	tetracycline efflux MFS transporter Tet(B)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	99.75	COMBINED	100.0
Acinetobacter baumannii	HAV6015573.1	SAMD00034449	PDT000173808.3	DADBJF010000086.1	582	1466	-	GCA_016513995.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Acinetobacter baumannii	HAV4275032.1	SAMN03576448	PDT000663714.1	DADARS010000105.1	202	1419	-	GCA_016497045.1	tet(B)	tetracycline efflux MFS transporter Tet(B)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	99.75	COMBINED	100.0
Acinetobacter baumannii	WP_000018326.1	SAMN23416908	PDT001224264.1	NZ_CP090607.1	970570	971385	-	GCA_021484905.1	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	AMR	core	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	100.0	COMBINED	100.0
