#Scientific name	Protein	BioSample	Isolate	Contig	Start	Stop	Strand	Assembly	Element symbol	Element name	Type	Scope	Subtype	Class	Subclass	Method	% Coverage of reference	AMRFinderPlus analysis type	% Identity to reference
Klebsiella pneumoniae	HBV1156032.1	SAMN24020474	PDT001244603.1	DAGHND010000025.1	79090	79829	+	GCA_022122845.1	blaSHV	SHV family class A beta-lactamase	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDP	86.36	COMBINED	100.0
Klebsiella pneumoniae	EIW9076013.1	SAMN04448227	PDT000130464.2	ABFCYE010000049.1	40562	41035	-	GCA_022315655.1	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ4216206.1	SAMN11230927	PDT000538165.1	DAGNBN010000043.1	40669	41142	-	GCA_022332625.1	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090365.1	SAMN19291395	PDT001044042.1	DAFYMX010000028.1	40600	41620	+	GCA_021942045.1	oqxA	multidrug efflux RND transporter periplasmic adaptor subunit OqxA	AMR	core	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	PARTIAL_CONTIG_ENDP	86.96	COMBINED	100.0
Klebsiella pneumoniae	HBU8544161.1	SAMN24020430	PDT001244784.1	DAGGTG010000043.1	40140	40664	-	GCA_022110415.1	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HDU2471893.1	SAMN24010478	PDT001794380.1	DAPDFZ010000052.1	19358	19777	-	GCA_031017585.1	fosA	FosA5 family fosfomycin resistance glutathione transferase	AMR	core	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBY8335971.1	SAMN02927810	PDT000193298.2	DAGSIH010000036.1	45536	46681	-	GCA_022302065.1	blaCMY-4	class C beta-lactamase CMY-4	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ3154302.1	SAMN11853671	PDT000534816.1	DAGNQC010000040.1	42939	43799	+	GCA_022329305.1	blaSHV-28	broad-spectrum class A beta-lactamase SHV-28	AMR	core	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBU8544162.1	SAMN24020430	PDT001244784.1	DAGGTG010000043.1	40759	41232	-	GCA_022110415.1	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBY8336121.1	SAMN02927810	PDT000193298.2	DAGSIH010000040.1	39943	40467	-	GCA_022302065.1	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ3154569.1	SAMN11853671	PDT000534816.1	DAGNQC010000046.1	40140	40664	-	GCA_022329305.1	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099462.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000122.1	106	951	-	GCA_022328325.1	rmtC	RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase	AMR	core	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBY8336122.1	SAMN02927810	PDT000193298.2	DAGSIH010000040.1	40562	41035	-	GCA_022302065.1	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ3154570.1	SAMN11853671	PDT000534816.1	DAGNQC010000046.1	40759	41232	-	GCA_022329305.1	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099508.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000129.1	192	1004	+	GCA_022328325.1	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090589.1	SAMN19291395	PDT001044042.1	DAFYMX010000037.1	974	2671	-	GCA_021942045.1	mcr-8.2	phosphoethanolamine--lipid A transferase MCR-8.2	AMR	core	AMR	COLISTIN	COLISTIN	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9064692.1	SAMN04448230	PDT000130466.2	ABFCYC010000044.1	40040	40564	-	GCA_022315595.1	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099509.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000129.1	1008	1373	+	GCA_022328325.1	ble	bleomycin binding protein Ble-MBL	AMR	core	AMR	BLEOMYCIN	BLEOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090642.1	SAMN19291395	PDT001044042.1	DAFYMX010000041.1	2019	2810	+	GCA_021942045.1	sul3	sulfonamide-resistant dihydropteroate synthase Sul3	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBV1157205.1	SAMN24020474	PDT001244603.1	DAGHND010000046.1	40562	41035	-	GCA_022122845.1	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9064693.1	SAMN04448230	PDT000130466.2	ABFCYC010000044.1	40659	41132	-	GCA_022315595.1	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090646.1	SAMN19291395	PDT001044042.1	DAFYMX010000041.1	4492	5283	-	GCA_021942045.1	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBV1157204.1	SAMN24020474	PDT001244603.1	DAGHND010000046.1	39943	40467	-	GCA_022122845.1	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090647.1	SAMN19291395	PDT001044042.1	DAFYMX010000041.1	5376	6635	-	GCA_021942045.1	cmlA1	chloramphenicol efflux MFS transporter CmlA1	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HCA9000065.1	SAMN26422316	PDT001289656.1	DAGYUU010000059.1	5397	5870	-	GCA_023024485.1	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9065916.1	SAMN04448230	PDT000130466.2	ABFCYC010000091.1	4943	6418	-	GCA_022315595.1	msr(E)	ABC-F type ribosomal protection protein Msr(E)	AMR	core	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090648.1	SAMN19291395	PDT001044042.1	DAFYMX010000041.1	6897	7688	-	GCA_021942045.1	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9065915.1	SAMN04448230	PDT000130466.2	ABFCYC010000091.1	4003	4887	-	GCA_022315595.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9065920.1	SAMN04448230	PDT000130466.2	ABFCYC010000091.1	8717	9490	-	GCA_022315595.1	armA	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	AMR	core	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090654.1	SAMN19291395	PDT001044042.1	DAFYMX010000042.1	2084	2728	-	GCA_021942045.1	qnrB4	quinolone resistance pentapeptide repeat protein QnrB4	AMR	core	AMR	QUINOLONE	QUINOLONE	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HDU2472853.1	SAMN24010478	PDT001794380.1	DAPDFZ010000086.1	1123	1647	+	GCA_031017585.1	sat2	streptothricin N-acetyltransferase Sat2	AMR	core	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9066049.1	SAMN04448230	PDT000130466.2	ABFCYC010000103.1	1347	2159	+	GCA_022315595.1	blaNDM-1	subclass B1 metallo-beta-lactamase NDM-1	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090660.1	SAMN19291395	PDT001044042.1	DAFYMX010000042.1	6852	7991	-	GCA_021942045.1	blaDHA-1	extended-spectrum class C beta-lactamase DHA-1	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HDU2472852.1	SAMN24010478	PDT001794380.1	DAPDFZ010000086.1	555	1028	+	GCA_031017585.1	dfrA1	trimethoprim-resistant dihydrofolate reductase DfrA1	AMR	core	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9066050.1	SAMN04448230	PDT000130466.2	ABFCYC010000103.1	2163	2528	+	GCA_022315595.1	ble	bleomycin binding protein Ble-MBL	AMR	core	AMR	BLEOMYCIN	BLEOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090665.1	SAMN19291395	PDT001044042.1	DAFYMX010000043.1	1686	2849	+	GCA_021942045.1	tmexC1	multidrug efflux RND transporter periplasmic adaptor subunit TMexC1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9066089.1	SAMN04448230	PDT000130466.2	ABFCYC010000108.1	1481	2356	+	GCA_022315595.1	blaCTX-M-15	extended-spectrum class A beta-lactamase CTX-M-15	AMR	core	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099556.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000135.1	2097	2933	+	GCA_022328325.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090666.1	SAMN19291395	PDT001044042.1	DAFYMX010000043.1	2865	5999	+	GCA_021942045.1	tmexD1	multidrug efflux RND transporter permease subunit TMexD1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099554.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000135.1	418	1233	+	GCA_022328325.1	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	AMR	core	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090667.1	SAMN19291395	PDT001044042.1	DAFYMX010000043.1	6004	7437	+	GCA_021942045.1	toprJ1	multidrug efflux transporter outer membrane subunit TOprJ1	AMR	core	AMR	TETRACYCLINE	TIGECYCLINE	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9066103.1	SAMN04448230	PDT000130466.2	ABFCYC010000111.1	883	1680	+	GCA_022315595.1	blaOXA-232	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-232	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090676.1	SAMN19291395	PDT001044042.1	DAFYMX010000045.1	1720	2604	-	GCA_021942045.1	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	ERYTHROMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099685.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000158.1	2257	3162	-	GCA_022328325.1	mph(A)	Mph(A) family macrolide 2'-phosphotransferase	AMR	core	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090677.1	SAMN19291395	PDT001044042.1	DAFYMX010000045.1	2660	4135	-	GCA_021942045.1	msr(E)	ABC-F type ribosomal protection protein Msr(E)	AMR	core	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae subsp. pneumoniae	HBY7882726.1	SAMN02631010	PDT000193383.2	DAGSFE010000057.1	27672	28553	+	GCA_022300495.1	blaKPC-3	carbapenem-hydrolyzing class A beta-lactamase KPC-3	AMR	core	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099688.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000159.1	380	1039	+	GCA_022328325.1	catA1	type A-1 chloramphenicol O-acetyltransferase	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090681.1	SAMN19291395	PDT001044042.1	DAFYMX010000045.1	6434	7207	-	GCA_021942045.1	armA	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	AMR	core	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBV1157864.1	SAMN24020474	PDT001244603.1	DAGHND010000068.1	19957	20616	+	GCA_022122845.1	catA1	type A-1 chloramphenicol O-acetyltransferase	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9066150.1	SAMN04448230	PDT000130466.2	ABFCYC010000119.1	1	498	+	GCA_022315595.1	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDP	61.8	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099695.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000161.1	109	561	-	GCA_022328325.1	arr-3	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	AMR	core	AMR	RIFAMYCIN	RIFAMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090717.1	SAMN19291395	PDT001044042.1	DAFYMX010000050.1	1293	2492	+	GCA_021942045.1	tet(A)	tetracycline efflux MFS transporter Tet(A)	AMR	core	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	EIW9066151.1	SAMN04448230	PDT000130466.2	ABFCYC010000119.1	498	1334	+	GCA_022315595.1	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	AMR	core	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBZ2099696.1	SAMEA5226270	PDT000535641.1	DAGNPJ010000161.1	646	1278	-	GCA_022328325.1	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	100.0	COMBINED	100.0
Klebsiella pneumoniae	HBR8090719.1	SAMN19291395	PDT001044042.1	DAFYMX010000050.1	3092	4306	-	GCA_021942045.1	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	AMR	core	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	EXACTP	100.0	COMBINED	100.0
